TRACTCE,Pct_20+Complex,Pct_NoVehicle,Pct_Rent35%orMore,Pct_AccessToComputer,Pct_AccessToBroadband,Data type
3500,0.4614285714285714,0.4171974522292994,0.397887323943662,0.8964968152866242,0.7906050955414012,Training data
7809,0.0,0.35720303285593935,0.5422222222222223,0.8298230834035384,0.7118786857624263,Training data
8410,0.02005730659025788,0.1761006289308176,0.10416666666666667,0.9559748427672956,0.9150943396226415,Test data
5800,0.9343915343915344,0.506631299734748,0.2212566844919786,0.9748010610079576,0.9102564102564102,Test data
4702,0.93,0.5035,0.29418813660874776,0.9585,0.934,Test data
10800,0.9133574007220217,0.8300248138957816,0.5006587615283268,0.9416873449131513,0.8548387096774194,Training data
5900,0.9386378961564397,0.6113902847571189,0.28220255653883974,0.9212730318257957,0.8257956448911222,Training data
7804,0.1306366047745358,0.5011990407673861,0.167621776504298,0.7897681854516387,0.5851318944844125,Training data
8402,0.28350116189000774,0.3855421686746988,0.1831610044313146,0.8752151462994836,0.8691910499139415,Test data
6202,1.0,0.0,0.0,1.0,1.0,Training data
8301,0.273371104815864,0.27657735522904064,0.20469798657718122,0.9775280898876404,0.9438202247191011,Training data
8302,0.12563667232597622,0.20433996383363473,0.3182751540041068,0.9638336347197106,0.9511754068716094,Training data
7901,0.024494142705005325,0.32901234567901233,0.38590956887486855,0.8876543209876543,0.7814814814814814,Test data
8701,0.036896877956480605,0.273542600896861,0.3699731903485255,0.9630044843049327,0.8778026905829597,Training data
100,0.34755877034358046,0.22478991596638656,0.21457905544147843,0.9869747899159664,0.973109243697479,Training data
9601,0.0,0.39135654261704683,0.32771535580524347,0.9135654261704682,0.5942376950780313,Training data
202,0.23464912280701755,0.1623931623931624,0.44933920704845814,1.0,0.9682539682539683,Test data
8804,0.02501737317581654,0.4469135802469136,0.5541619156214367,0.8674897119341564,0.7489711934156379,Training data
8803,0.22987390882638215,0.44651162790697674,0.5239398084815321,0.8593023255813953,0.5930232558139535,Training data
3302,0.03653846153846154,0.12431842966194111,0.16230366492146597,1.0,0.8985823336968375,Test data
4202,0.41685267857142855,0.530902348578492,0.28040540540540543,0.9864029666254636,0.9128553770086527,Training data
4600,0.11764705882352941,0.3006535947712418,0.3733974358974359,0.8738562091503268,0.8248366013071895,Training data
5500,0.7948113207547169,0.5172678434382195,0.408058294042006,0.9828600665131747,0.9166027116909695,Training data
5301,0.7296206618240516,0.5919373549883991,0.2908496732026144,0.9869489559164734,0.947215777262181,Training data
5201,0.7400771149920617,0.5791956305858987,0.20259938837920488,0.974180734856008,0.9215491559086395,Training data
5001,0.15009560229445507,0.4039054470709147,0.18853974121996303,0.9619732785200411,0.9044193216855088,Training data
4901,0.6077981651376146,0.4364179104477612,0.2906110283159464,0.9385074626865672,0.8519402985074627,Test data
10600,0.6874869438061416,0.36845912707981676,0.2945921720944129,0.9761273209549072,0.9271762720038582,Training data
4801,0.27662721893491127,0.4053398058252427,0.17069701280227595,0.9441747572815534,0.8786407766990292,Test data
7806,0.0,0.29914529914529914,0.7015209125475285,0.8670465337132004,0.6429249762583096,Test data
